District Code,District Name,Mandal Code,Mandal Name,Panchayat Code,Panchayat Name,Village Code,Village Name,Water Body Name,SS/LS/Resarvior,Ownership,Lease/Auction,TWSA,EWSA,Cluster Name
519,Srikakulam,4783,Hiramandalam,210993,Adapaka,581599,Adapaka,Peddakata Tank,SS,GP,Auction,21.07,5.32,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,197093,Adavaram,595986,Adavaram,Kotti Tank,SS,GP,Auction,11.04,2.59,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,214783,Adavikolanu,588481,Adavikolanu,Patnaik Tank,SS,GP,Auction,15.48,3.79,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,214783,Adavikolanu,588481,Adavikolanu,Kotha Tank,SS,GP,Auction,18.79,4.7,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,214783,Adavikolanu,588481,Adavikolanu,Banji Tank,SS,GP,Auction,11.82,2.8,HIRAMANDALAM
519,Srikakulam,4783,Hiramandalam,214783,Adavikolanu,588481,Adavikolanu,Annayya Tank,SS,GP,Auction,15.96,3.92,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214783,Adavikolanu,588481,Adavikolanu,Ramayya Banda,SS,GP,Auction,11.34,2.67,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214783,Adavikolanu,588481,Adavikolanu,Swayambhavani Tank,SS,GP,Auction,11.68,2.76,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214783,Adavikolanu,588481,Adavikolanu,Kotta Tower,SS,GP,Auction,11.71,2.77,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214783,Adavikolanu,588481,Adavikolanu,Ramanna Tank,SS,GP,Auction,11.74,2.78,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214783,Adavikolanu,588481,Adavikolanu,Bokaralavani Tank,SS,GP,Auction,12.29,2.93,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214783,Adavikolanu,588481,Adavikolanu,Komatikarra Tank,SS,GP,Auction,12.47,2.97,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214783,Adavikolanu,588481,Adavikolanu,Atchanna Tank,SS,GP,Auction,12.52,2.99,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214783,Adavikolanu,588481,Adavikolanu,Rudrabhumi Koneru,SS,GP,Auction,12.65,3.02,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203585,Addada,589575,Addada,Dasikarra Tank,SS,GP,Auction,12.76,3.05,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203585,Addada,589575,Addada,Surammagundam,SS,GP,Auction,12.83,3.07,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203585,Addada,589575,Addada,Kotta Tank,SS,GP,Auction,12.87,3.08,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203585,Addada,589575,Addada,Sondi Tank,SS,GP,Auction,12.93,3.1,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203585,Addada,589575,Addada,Dokivani Cheruvu,SS,GP,Auction,13.19,3.17,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,213016,Addapuseela,582146,Addapuseela,Annampeta Koneru,SS,GP,Auction,13.51,3.26,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,213016,Addapuseela,582146,Addapuseela,Seepavani Banda,SS,GP,Auction,13.57,3.27,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212286,Addasaram,585818,Addasaram,Moolavani Tank,SS,GP,Auction,13.91,3.37,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212286,Addasaram,585818,Addasaram,Boyabheemanna Tank,SS,GP,Auction,14.12,3.42,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212286,Addasaram,585818,Addasaram,Kotta Cheruvu,SS,GP,Auction,14.36,3.49,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212286,Addasaram,585818,Addasaram,Voora Tank,SS,GP,Auction,14.51,3.53,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212286,Addasaram,585818,Addasaram,Jalarivani Tank(P.Kollivalasa),SS,GP,Auction,14.56,3.54,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212286,Addasaram,585818,Addasaram,Reyyala Banda,SS,GP,Auction,14.66,3.57,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,211864,Adduru,586209,Adduru,Swayambhavani Tank,SS,GP,Auction,14.9,3.64,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,211864,Adduru,586209,Adduru,Rajanna Tank,SS,GP,Auction,15.07,3.68,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,211864,Adduru,586209,Adduru,Kittayya Tank,SS,GP,Auction,15.5,3.8,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,211864,Adduru,586209,Adduru,Palakarra Cheruvu,SS,GP,Auction,15.5,3.8,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214799,Agarru,588784,Agarru,Ralla Koneru(Syamalapuram),SS,GP,Auction,17.16,4.25,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Talayavani Tank,SS,GP,Auction,18.17,4.53,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Chintamanu Tank,SS,GP,Auction,18.36,4.58,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Jangamuvani Tank,SS,GP,Auction,18.53,4.62,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Jaggayya Koneru,SS,GP,Auction,18.76,4.69,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Vedulla Tank,SS,GP,Auction,19.08,4.77,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Vepakarra Tank,SS,GP,Auction,19.54,4.9,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Tumpati Koneru,SS,GP,Auction,19.85,4.98,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Turupukoneru,SS,GP,Auction,19.96,5.01,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Munguvani Tank,SS,GP,Auction,20,5.02,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Gorlavani Tank,SS,GP,Auction,20.31,5.11,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,212906,Aguru,582727,Aguru,Seepanavani Tank,SS,GP,Auction,20.33,5.12,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203587,Ainampudi,589578,Ainampudi,Kotta Tank,SS,GP,Auction,20.35,5.12,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203587,Ainampudi,589578,Ainampudi,Kotta Tank,SS,GP,Auction,20.39,5.13,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203587,Ainampudi,589578,Ainampudi,Dasugundam Tank,SS,GP,Auction,20.49,5.16,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203587,Ainampudi,589578,Ainampudi,Tivvakarra Tank,SS,GP,Auction,21,5.3,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203587,Ainampudi,589578,Ainampudi,Venkunaidu Tank,SS,GP,Auction,21.33,5.39,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203587,Ainampudi,589578,Ainampudi,Nimmalakarra Tank,SS,GP,Auction,21.34,5.39,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203587,Ainampudi,589578,Ainampudi,Regulakarra Tank,SS,GP,Auction,22.06,5.59,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203587,Ainampudi,589578,Ainampudi,Voora Tank,SS,GP,Auction,22.34,5.66,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,199469,Ainapuram,587762,Ainapuram,Kotta Tank,SS,GP,Auction,22.37,5.67,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,198958,Ainavilli,587767,Ainavilli,Velagalakarra Tank,SS,GP,Auction,22.77,5.78,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214275,Ajjamuru,588597,Ajjamuru,Jagannadhasagaram,SS,GP,Auction,23.83,6.07,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214574,Akkampeta,588175,Akkampeta,Vengalavani Tank,SS,GP,Auction,26.6,6.82,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,214574,Akkampeta,588175,Akkampeta,Motiki Karra Tank,SS,GP,Auction,26.86,6.89,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,211590,Akkavaram,580975,Akkavaram,Pedda Cheruvu,SS,GP,Auction,27.98,7.2,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203469,Akkireddigudem,588452,Akkireddigudem,Vojjabanda,SS,GP,Auction,28.17,7.25,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203469,Akkireddigudem,588452,Akkireddigudem,Duggalakarra,SS,GP,Auction,28.82,7.43,HIRAMANDALAM
519,Srikakulam,4787,Lakshminarsupeta,203469,Akkireddigudem,588452,Akkireddigudem,Pedda Tank,SS,GP,Auction,29.09,7.5,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Venkanna Tank,SS,GP,Auction,15.68,3.85,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Appalanaidu Tank,SS,GP,Auction,18.19,4.53,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Masab Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Ramaraju Tank,SS,GP,Auction,17.56,4.36,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Tamminaidu Tank,SS,GP,Auction,25.09,6.41,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Dahala Tank,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Sondivani Tank,SS,GP,Auction,14.43,3.51,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Tummalagunda Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Kotha Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Jangamayya Tank,SS,GP,Auction,14.43,3.51,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Kainam Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Yedumadumala Tank,SS,GP,Auction,35.75,9.31,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Dharama Koneeru,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Palakarra Tank,SS,GP,Auction,30.73,7.95,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Seethanna Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Ravikarra Tank,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,voora Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Voora Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Venkunaidu Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212510,Akkivaram,581410,Akkivaram,Raminaidu Tank,SS,GP,Auction,33.24,8.63,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Gummadi Tank,SS,GP,Auction,21.95,5.56,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Voora Tank,SS,GP,Auction,30.73,7.95,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Tivvakarra Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Voora Tank,SS,GP,Auction,33.24,8.63,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Kanugulavani Tank,SS,GP,Auction,35.75,9.31,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Ravikarra Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Turapha Tank,SS,GP,Auction,33.24,8.63,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Chondivani Tank,SS,GP,Auction,35.75,9.31,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Mokhalingam naidu Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Ranigari Tank,SS,GP,Auction,33.24,8.63,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Lukalapu karra Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,210608,Akkulapeta,581399,Akkulapeta,Yellam naidu Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203169,Akulamannadu,589657,Akulamannadu,Kotha Tank,SS,GP,Auction,35.75,9.31,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203169,Akulamannadu,589657,Akulamannadu,Simmakoneeru,SS,GP,Auction,33.24,8.63,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203169,Akulamannadu,589657,Akulamannadu,Akkavani Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203169,Akulamannadu,589657,Akulamannadu,Appalanaidu Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203169,Akulamannadu,589657,Akulamannadu,Voora Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203169,Akulamannadu,589657,Akulamannadu,Raminaidu Tank,SS,GP,Auction,25.09,6.41,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203169,Akulamannadu,589657,Akulamannadu,Naidu Tank,SS,GP,Auction,26.34,6.75,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203170,Akumarru,589670,Akumarru,Gundam Tank,SS,GP,Auction,16.94,4.19,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203170,Akumarru,589670,Akumarru,Kotha Tank,SS,GP,Auction,32.61,8.46,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203170,Akumarru,589670,Akumarru,Pedda Tank,SS,GP,Auction,30.73,7.95,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203170,Akumarru,589670,Akumarru,Venkanna Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203170,Akumarru,589670,Akumarru,Gundavani Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203170,Akumarru,589670,Akumarru,Vasu Tank,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203849,Akunuru,589561,Akunuru,Appayya Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203849,Akunuru,589561,Akunuru,Koneeru Tank,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203849,Akunuru,589561,Akunuru,Karigedda Tank,SS,GP,Auction,33.24,8.63,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212402,Alajangi,582352,Alajangi,Voora Tank,SS,GP,Auction,17.56,4.36,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212402,Alajangi,582352,Alajangi,Dasukoneeru,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212402,Alajangi,582352,Alajangi,Pedda Tank,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212402,Alajangi,582352,Alajangi,Basanna Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212402,Alajangi,582352,Alajangi,Yellayya Tank,SS,GP,Auction,18.19,4.53,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,212402,Alajangi,582352,Alajangi,Naidu Tank,SS,GP,Auction,22.58,5.73,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Boravani Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Lacheyya Tank,SS,GP,Auction,23.83,6.07,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Tutikarra Tank,SS,GP,Auction,18.19,4.53,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Panchamana Tank,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Naidu Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Kotha Tank,SS,GP,Auction,18.19,4.53,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Koonavani Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Hanumanthu vani Tank,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Kotha Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Varakattu Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Thamminaidu Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Chintala Tank,SS,GP,Auction,26.34,6.75,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Vysula Tank,SS,GP,Auction,32.61,8.46,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Viswesara Tank,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Kuramayya Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Eedula Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Malla Tank,SS,GP,Auction,26.34,6.75,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Koneeru Tank,SS,GP,Auction,17.56,4.36,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Voora Tank,SS,GP,Auction,19.44,4.87,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Kotha Tank,SS,GP,Auction,26.34,6.75,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Gontupannu Tank,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Kaminaidu Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Patha Tank,SS,GP,Auction,18.19,4.53,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Kotha Tank,SS,GP,Auction,18.19,4.53,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Voora Tank,SS,GP,Auction,14.43,3.51,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Bukkavani Tank,SS,GP,Auction,18.82,4.7,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Voora Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Koneeru Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Pakeeru naidu Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Kotha tank,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211896,Alamanda,585989,Alamanda,Patha Tank,SS,GP,Auction,18.19,4.53,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,198979,Alamuru,587665,Alamuru,Subba Tank,SS,GP,Auction,32.61,8.46,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203224,Alapadu,590385,Alapadu,Pedda Tank,SS,GP,Auction,22.58,5.73,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203224,Alapadu,590385,Alapadu,Budata Tank,SS,GP,Auction,20.7,5.21,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203224,Alapadu,590385,Alapadu,Grama Honeeru,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203224,Alapadu,590385,Alapadu,Saibu Tank,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203224,Alapadu,590385,Alapadu,Talupalabanda,SS,GP,Auction,18.19,4.53,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203224,Alapadu,590385,Alapadu,Pedda Kainam,SS,GP,Auction,26.97,6.92,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,203224,Alapadu,590385,Alapadu,Chennakainam,SS,GP,Auction,32.61,8.46,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211563,Alikam,581538,Alikam,Jeelakarra Banda,SS,GP,Auction,20.07,5.04,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211563,Alikam,581538,Alikam,Avadanula Tank,SS,GP,Auction,17.56,4.36,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211563,Alikam,581538,Alikam,Nadimikinam,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211563,Alikam,581538,Alikam,Darmakoneeru,SS,GP,Auction,16.81,4.19,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211563,Alikam,581538,Alikam,Peethalakarra,SS,GP,Auction,20.05,5.18,HIRAMANDALAM
519,Srikakulam,4793,Sarubujjili,211563,Alikam,581538,Alikam,Kotha Tank,SS,GP,Auction,23.21,5.9,HIRAMANDALAM
